PROTOCOL;A_0,1lx;A_1lx;A_10lx;A_100lx;A_1000lx
;;;;;
Type:;LIGHTSOURCE;LIGHTSOURCE;LIGHTSOURCE;LIGHTSOURCE;LIGHTSOURCE
;;;;;
PeakBand:;780 [nm];780 [nm];780 [nm];780 [nm];780 [nm]
BandMin:;380 [nm];380 [nm];380 [nm];380 [nm];380 [nm]
BandMax:;780 [nm];780 [nm];780 [nm];780 [nm];780 [nm]
Resolution:;1 [nm];1 [nm];1 [nm];1 [nm];1 [nm]
;;;;;
BEGIN_DATA;;;;;
732nm;0.00294802;0.02948015;0.29480152;2.94801523;29.48015232
733nm;0.00295561;0.02955614;0.29556144;2.95561440;29.55614398
734nm;0.00296319;0.02963186;0.29631864;2.96318642;29.63186425
735nm;0.00297073;0.02970731;0.29707313;2.97073131;29.70731311
736nm;0.00297824;0.02978235;0.29782355;2.97823549;29.78235488
737nm;0.00298573;0.02985726;0.29857261;2.98572610;29.85726095
738nm;0.00299318;0.02993176;0.29931760;2.99317599;29.93175993
739nm;0.00300061;0.03000612;0.30006123;3.00061232;30.00612320
740nm;0.00300801;0.03008008;0.30080079;3.00800794;30.08007937
741nm;0.00301538;0.03015376;0.30153764;3.01537641;30.15376415
742nm;0.00302272;0.03022718;0.30227178;3.02271775;30.22717752
743nm;0.00303003;0.03030032;0.30300320;3.03003195;30.30031950
744nm;0.00303731;0.03037305;0.30373054;3.03730544;30.37305438
745nm;0.00304457;0.03044565;0.30445654;3.04456536;30.44565356
746nm;0.00305178;0.03051785;0.30517846;3.05178456;30.51784564
747nm;0.00305898;0.03058977;0.30589766;3.05897663;30.58976633
748nm;0.00306614;0.03066142;0.30661416;3.06614156;30.66141561
749nm;0.00307328;0.03073279;0.30732793;3.07327935;30.73279350
750nm;0.00308038;0.03080376;0.30803764;3.08037643;30.80376428
751nm;0.00308746;0.03087460;0.30874599;3.08745994;30.87459937
752nm;0.00309450;0.03094503;0.30945027;3.09450274;30.94502736
753nm;0.00310152;0.03101518;0.31015184;3.10151840;31.01518395
754nm;0.00310851;0.03108507;0.31085069;3.10850691;31.08506914
755nm;0.00311545;0.03115455;0.31154547;3.11545472;31.15454724
756nm;0.00312239;0.03122389;0.31223890;3.12238896;31.22388963
757nm;0.00312928;0.03129282;0.31292825;3.12928249;31.29282493
